GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
datalayer,se.liu.ida.tdp024.account.data.impl.db.util,EMF,11,18,5,3,4,5,5,2,2,1
datalayer,se.liu.ida.tdp024.account.data.impl.db.util,StorageFacadeDB,5,0,0,0,3,0,2,0,2,0
datalayer,se.liu.ida.tdp024.account.data.impl.db.facade,AccountEntityFacadeDB,54,277,8,20,16,64,6,13,0,5
datalayer,se.liu.ida.tdp024.account.data.impl.db.facade,TransactionEntityFacadeDB,6,65,0,0,2,17,0,3,0,3
datalayer,se.liu.ida.tdp024.account.data.exception,AccountEntityNotFoundException,0,4,0,0,0,2,0,1,0,1
datalayer,se.liu.ida.tdp024.account.data.exception,AccountInputParameterException,0,4,0,0,0,2,0,1,0,1
datalayer,se.liu.ida.tdp024.account.data.exception,InsufficientHoldingException,0,4,0,0,0,2,0,1,0,1
datalayer,se.liu.ida.tdp024.account.data.exception,AccountServiceConfigurationException,4,0,0,0,2,0,1,0,1,0
datalayer,se.liu.ida.tdp024.account.data.impl.db.entity,TransactionDB,6,35,0,0,2,15,2,10,2,10
datalayer,se.liu.ida.tdp024.account.data.impl.db.entity,AccountDB,0,41,0,0,0,17,0,12,0,12
